,prompts,answers,ground
0,"QUESTION1) 영어 및 정보 등에 관하여 일정한 기준의 능력이나 자격을 취득한 경우 인정 받는 학점은 몇점인가?
(A) 인정 안됨
(B) 1학점
(C) 2학점
(D) 3학점",(D),
1,"QUESTION2) 각 대학에 따른 학위의 종류로 해당하지 않는 것은 무엇인가?
(A) 이학사
(B) 문학사
(C) 공학사
(D) 간호학사
(E) 인공지능학사
(F) 가정학사
(G) 무용학사
(H) 음악학사 ",(E),
2,"QUESTION3) 부칙에 학과명 변경 및 폐과된 학과는 무엇에 의해 언제까지 존속하는가?
(A) 현 학칙에 의하여 재학생이 졸업하는 연도까지 존속한다
(B) 구 학칙에 의하여 재학생이 졸업하는 연도까지 존속한다
(C) 현 학칙에 의하여 입학생이 졸업하는 연도까지 존속한다
(D) 구 학칙에 의하여 입학생이 졸업하는 연도까지 존속한다
(E) 현 학칙에 의하여 3월 1일까지 존속한다
(F) 규정을 적용하지 아니한다",(B),
3,"QUESTION4) 학생 포털에서 본인의 성적을 조회할 수 있는 시기는 언제입니까?
(A) 시험 직후
(B) 성적 입력 마감 후
(C) 학기 초
(D) 졸업 후에만 조회 가능",(B),
4,"QUESTION5) 학칙 제1조(목적)에 따르면 이화여자대학교의 설립 목적에 해당하지 않는 것은 무엇입니까?
(A) 기독교정신을 바탕으로 교육
(B) 지도여성 양성
(C) 지역사회의 봉사
(D) 학술의 응용방법 연구
(E) 국제사회 협력
(F) 국가와 인류사회의 발전에 공헌",(C),72.0
5,"QUESTION6) 학칙 제3조에서 명시된 본교의 주소에 포함되지 않는 요소는 무엇입니까?
(A) 서울특별시
(B) 서대문구
(C) 이화여대길 52
(D) 강남구", (D),
6,"QUESTION7) 학칙 제12조(휴업일)에서 임시휴업을 결정할 수 있는 근거로 인정되지 않는 경우는?
(A) 국가적 비상사태
(B) 자연재해
(C) 학생총회 요청
(D) 대규모 학내 행사
(E) 총장의 판단", (C),
7,"QUESTION8) 학칙 제23조(수업연한)에 따르면 건축학과와 약학대학의 수업연한이 다른 이유로 올바른 설명은?
(A) 건축학과는 추가 설계 실습을 포함하므로 더 긴 연한이 필요하다.
(B) 약학대학은 국제 인증 기준에 따라 6년이 요구된다.
(C) 건축학과와 약학대학 모두 기초 교양 교육을 제외하고 6년이다.
(D) 약학대학은 의학과와 동일한 교육 기간을 요구받는다.", (D),72.0
8,"QUESTION9) 학칙 제26조(휴학)에서 규정된 휴학의 최대 연장 가능 기간을 초과하는 경우가 아닌 것은?
(A) 임신 및 육아로 인한 휴학: 2년
(B) 창업으로 인한 휴학: 2년
(C) 군복무로 인한 휴학: 의무 복무 기간
(D) 해외 봉사로 인한 휴학: 3년
(E) 중대한 질병으로 인한 휴학: 총장의 판단에 따라 연장 가능", (C),72.0
9,"QUESTION10) 학칙 제50조(졸업)에서 복수전공 이수자가 요구되는 추가 조건은 무엇입니까?
(A) 졸업요건 학점 충족
(B) 전공별 종합시험 합격
(C) 졸업 논문 제출
(D) 총 평균성적 3.0 이상
(E) 영어강의 이수
(F) 훈련학점 취득", (B),
10,"QUESTION11)  학칙 제39조(성적)에 따라 다음 중 성적이 F로 처리되지 않는 경우는 무엇입니까?
(A) 수업 시간의 6분의 1 이상 결석
(B) 과제 제출 기한 초과
(C) 시험 부정행위
(D) 교과목 담당교수의 허가 없이 수강 취소
(E) 중간시험 및 기말시험 미응시", (B),72.0
11,"QUESTION12) 학칙 제47조(전공)에서 융합전공의 설계 기준으로 옳지 않은 설명은 무엇입니까?
(A) 제1전공을 기반으로 한다.
(B) 총장의 승인을 받아야 한다.
(C) 독립된 학과로 운영된다.
(D) 복합적인 학문 간 협력을 목표로 한다.
(E) 최소 21학점의 취득이 요구된다.
(F) 융복합 연구과정이 포함되어야 한다.", (C),
12,"QUESTION13) 학칙 제28조(제적)에 따라 다음 중 제적 사유로 포함되지 않는 경우는 무엇입니까?
(A) 등록금을 기한 내 납부하지 않은 경우
(B) 연속 2회 학사경고를 받은 경우
(C) 재학 연한 내 졸업 요건을 충족하지 못한 경우
(D) 타교에 입학한 경우
(E) 휴학 기간이 만료된 경우", (B),72.0
13,"QUESTION14) 학칙 제12조(휴업일)에서 명시된 정기휴업일에 해당하지 않는 날은 무엇입니까?
(A) 하기방학
(B) 동기방학
(C) 개교기념일
(D) 국정공휴일
(E) 종강일", (E),72.0
14,"QUESTION15) 학칙 제26조에 따라 휴학을 신청할 수 없는 학생의 조건은 무엇입니까?
(A) 신입생 첫 학기
(B) 중대한 질병으로 3주 이상 수업 불가능한 경우
(C) 편입학 첫 학기
(D) 군 복무로 인한 경우
(E) 재입학 첫 학기", (A),
15,"QUESTION16) 학칙 제35조(학점) 기준에 따라 한 학점으로 인정되는 수업 시간의 최소 기준은?
(A) 10시간 이상
(B) 12시간 이상
(C) 15시간 이상
(D) 18시간 이상
(E) 20시간 이상", (C),
16,"QUESTION17) 학칙 제1조(목적)에서 이화여자대학교의 설립 정신에 기반한 교육 이념으로 올바르지 않은 것은?
(A) 학문적 경쟁력 강화
(B) 기독교정신과 조화
(C) 국제적 리더십 개발
(D) 지도여성 양성
(E) 특정 종교 교리 확립", (E),
17,"QUESTION18) 학칙 제5조(입학정원)에 따르면 모집단위별 통합 모집이 가능한 조건으로 옳지 않은 것은?
(A) 입학정원의 일부를 통합 모집할 수 있다.
(B) 통합된 모집단위는 대학장이 결정한다.
(C) 전공 결정은 일정 학점 이수 후 이루어진다.
(D) 총장이 세부 사항을 따로 정한다.", (B),
18,"QUESTION19) 학칙 제23조(수업연한)에 따라 다음 중 수업 연한이 4년으로 규정되지 않은 학과는 무엇입니까?
(A) 인문과학대학
(B) 경영대학
(C) 약학대학
(D) 엘텍공과대학 건축학전공
(E) 사범대학", (C),
19,"QUESTION20) 학칙 제45조(취득학점)에 따라 직전 학기 평균성적 3.75 이상을 받은 학생이 한 학기에 취득할 수 있는 최대 학점은?
(A) 18학점
(B) 20학점
(C) 21학점
(D) 24학점", (C),72.0
20,"QUESTION21) 학칙 제28조(제적)에 따라 다음 중 제적 사유에 포함되지 않는 것은 무엇입니까?
(A) 휴학 기간 종료 후 3주 이내 복학하지 않은 경우
(B) 등록금을 납부하지 않은 경우
(C) 학기 중간에 전과를 신청한 경우
(D) 연속 3회의 학사 경고를 받은 경우
(E) 재학 연한 초과", (C),
21,"QUESTION22) 학칙 제12조(휴업일)에서 다음 중 정기휴업일로 포함되지 않는 날은 무엇입니까?
(A) 하기방학
(B) 개교기념일
(C) 동기방학
(D) 주말
(E) 국정공휴일", (D),
22,"QUESTION23) 학칙 제50조(졸업)에 따라 스크랜튼학부 자유전공 입학생의 졸업 요건으로 올바른 설명은?
(A) 모든 학과에서 기본 학점을 충족해야 한다.
(B) 제1전공의 졸업요건 학점을 충족해야 한다.
(C) 영어 논문을 제출해야 한다.
(D) 복수전공 필수가 적용된다.", (B),
23,"QUESTION24) 학칙 제45조(취득학점)에 따라 다음 중 의과대학 의학과 학생이 한 학기에 취득할 수 있는 최대 학점은 무엇입니까?
(A) 18학점
(B) 21학점
(C) 24학점
(D) 27학점
(E) 30학점", (C),
24,"QUESTION25) 학칙 제59조(징계)에서 '유기정학' 처분이 내려질 수 있는 조건으로 옳은 것은 무엇입니까?
(A) 수업 중 휴대폰 사용
(B) 시험 부정행위
(C) 동아리 활동 불참
(D) 졸업논문 제출 지연
(E) 교수와의 면담 거부", (B),
